"Area","Year","Total","Male","Female"
"Malawi","2024",41.941,48.094,36.733
"Malaysia","2022",66.5,78.8,53.5
"Namibia","2023",30.342,34.336,26.627
"New Caledonia","2023",53.27,58.395,48.298
"Niger","2022",79.292,86.865,73.153
"Nigeria","2024",78.719,80.466,77.071
"Nicaragua","2014",62.034,80.147,45.352
"Niue","2022",61.177,62.5,59.906
"Netherlands","2025",66.009,70.28,61.806
"Norway","2025",62.586,65.94,59.209
"Nepal","2017",35.66,49.572,24.557
"Naoero","2024",35.383,36.972,33.802
"New Zealand","2025",66.792,70.786,62.901
"Oman","2022",68.272,85.082,35.822
"Pakistan","2025",51.492,76.613,25.391
"Panama","2025",57.332,68.988,46.699
"Peru","2025",68.61,76.979,60.544
"Philippines","2024",58.789,69.444,48.107
"Palau","2023",65.718,70.802,59.501
"Papua New Guinea","2022",50.59,51.596,49.541
"Poland","2025",56.948,63.888,50.547
"Puerto Rico","2020",37.18,41.605,33.273
"Portugal","2025",55.817,59.954,52.099
"Paraguay","2025",68.694,79.567,57.851
"Palestine, State of","2025",32.45,51.49,12.818
"French Polynesia","2012",44.078,50.005,37.916
"Qatar","2024",87.86,95.466,63.275
"Réunion","2013",39.01,43.959,34.521
"Romania","2025",48.256,57.749,39.486
"Russian Federation","2025",61.498,69.099,55.169
"Rwanda","2025",72.662,76.148,69.566
"Saudi Arabia","2025",65.225,82.262,32.221
"Sudan","2022",35.009,58.172,12.367
"Senegal","2024",41.986,55.631,28.777
"Singapore","2025",65.663,71.256,60.456
"Saint Helena","1998",52.854,59.625,46.118
"Solomon Islands","2013",85.363,87.291,83.297
"Sierra Leone","2018",65.151,67.533,63.117
"El Salvador","2025",59.595,74.824,47.039
"San Marino","2022",66.998,68.513,65.514
"Somalia","2022",27.98,40.486,17.398
"Serbia","2025",54.7,61.405,48.467
"South Sudan","2008",64.892,68.007,61.929
"Sao Tome and Principe","2017",54.699,68.871,41.355
"Suriname","2016",51.672,63.513,40.305
"Slovakia","2025",57.903,63.726,52.418
"Slovenia","2025",56.23,60.512,51.876
"Sweden","2025",61.6,64.223,58.948
"Eswatini","2023",33.495,36.979,30.551
"Seychelles","2025",62.88,66.375,59.624
"Syrian Arab Republic","2010",39,67.7,10.1
"Turks and Caicos Islands","2008",58.716,,
"Chad","2022",51.141,63.112,41.036
"Togo","2022",69.339,71.387,67.609
"Thailand","2025",66.643,75.104,58.954
"Tajikistan","2016",39.674,56.358,22.458
"Tokelau","2022",49.548,54.63,44.714
"Turkmenistan","1999",40.27,,
"Timor-Leste","2022",46.009,51.665,40.234
"Tonga","2023",50.566,60.69,41.943
"Trinidad and Tobago","2024",52.344,59.982,45.096
"Tunisia","2023",38.537,56.575,21.221
"Türkiye","2025",49.049,66.388,32.079
"Tuvalu","2022",40.726,48.899,32.306
"Taiwan, China","2020",56.863,64.614,49.479
"Tanzania, United Republic of","2025",81.342,86.81,76.273
"Uganda","2021",76.648,81.997,71.687
"Ukraine","2021",49.266,56.867,42.92
"Uruguay","2025",60.739,69.242,52.901
"United States of America","2025",59.745,64.85,54.883
"Uzbekistan","2020",53.241,70.26,36.856
"Saint Vincent and the Grenadines","2008",52.499,,
"Venezuela, Bolivarian Republic of","2020",55.377,67.422,43.514
"British Virgin Islands","1991",74.173,81.37,66.52
"Viet Nam","2024",71.341,75.776,67.084
"Vanuatu","2025",68.644,71.891,65.334
"Wallis and Futuna","2023",64.824,71.095,59.17
"Samoa","2022",41.59,54.616,28.969
"World","2027",57.595,69.173,46.061
"World: Low income","2027",59.241,69.375,49.37
"World: Lower-middle income","2027",56.165,73.349,38.704
"World: Upper-middle income","2027",58.528,67.36,49.766
"World: High income","2027",57.853,64.486,51.385
"Africa","2027",60.774,69.649,52.056
"Africa: Low income","2027",63.479,71.18,56.015
"Africa: Lower-middle income","2027",63.041,72.165,53.977
"Africa: Upper-middle income","2027",37.544,49.832,25.532
"Northern Africa","2027",38.644,62.476,14.786
"Northern Africa: Lower-middle income","2027",40.844,65.102,16.525
"Northern Africa: Upper-middle income","2027",35.707,57.718,12.889
"Sub-Saharan Africa","2027",66.21,71.432,61.105
"Sub-Saharan Africa: Low income","2027",66.184,72.341,60.208
"Sub-Saharan Africa: Lower-middle income","2027",70.159,74.444,65.916
"Sub-Saharan Africa: Upper-middle income","2027",38.872,43.831,34.226
"Central Africa","2027",61.202,65.382,57.15
"Eastern Africa","2027",68.447,74.665,62.474
"Southern Africa","2027",38.54,43.093,34.319
"Western Africa","2027",71.187,75.697,66.628
"Americas","2027",59.068,68.211,50.217
"Americas: Lower-middle income","2027",62.308,72.643,52.216
"Americas: Upper-middle income","2027",59.414,71.507,47.962
"Americas: High income","2027",58.343,63.672,53.037
"Latin America and the Caribbean","2027",59.34,71.156,48.122
"Latin America and the Caribbean: Lower-middle income","2027",62.308,72.643,52.216
"Latin America and the Caribbean: Upper-middle income","2027",59.414,71.507,47.962
"Latin America and the Caribbean: High income","2027",55.51,64.818,46.588
"Caribbean","2027",55.143,64.98,45.773
"Central America","2027",59.339,74.896,44.93
"South America","2027",59.743,70.263,49.658
"Northern America","2027",58.628,63.559,53.7
"Northern America: High income","2027",58.628,63.559,53.7
"Arab States","2027",44.579,68.255,15.644
"Arab States: Lower-middle income","2027",34.323,55.958,12.725
"Arab States: High income","2027",68.23,85.326,37.093
"Asia and the Pacific","2027",57.582,70.84,44.126
"Asia and the Pacific: Low income","2027",53.287,70.977,35.812
"Asia and the Pacific: Lower-middle income","2027",54.341,74.02,34.174
"Asia and the Pacific: Upper-middle income","2027",60.638,67.687,53.491
"Asia and the Pacific: High income","2027",61.736,68.619,55.173
"Eastern Asia","2027",61.147,66.079,56.173
"Eastern Asia: Upper-middle income","2027",60.806,65.403,56.121
"Eastern Asia: High income","2027",61.271,68.62,54.311
"South-Eastern Asia and the Pacific","2027",64.706,75.088,54.555
"South-Eastern Asia and the Pacific: Lower-middle income","2027",63.602,71.983,55.563
"South-Eastern Asia and the Pacific: Upper-middle income","2027",65.59,78.1,53.198
"South-Eastern Asia and the Pacific: High income","2027",64.284,68.615,60.002
"South-Eastern Asia","2027",64.959,75.803,54.364
"Pacific Islands","2027",60.933,64.499,57.412
"Southern Asia","2027",51.759,73.517,29.243
"Southern Asia: Lower-middle income","2027",52.85,74.336,30.594
"Southern Asia: Upper-middle income","2027",37.035,61.639,11.753
"Europe and Central Asia","2027",54.386,61.837,47.499
"Europe and Central Asia: Lower-middle income","2027",50.817,66.617,35.408
"Europe and Central Asia: Upper-middle income","2027",52.183,63.512,41.752
"Europe and Central Asia: High income","2027",55.23,61.049,49.866
"Northern, Southern and Western Europe","2027",54.028,59.21,49.108
"Northern, Southern and Western Europe: Upper-middle income","2027",51.593,59.167,44.764
"Northern, Southern and Western Europe: High income","2027",54.109,59.211,49.256
"Northern Europe","2027",58.354,62.056,54.795
"Southern Europe","2027",48.969,55.989,42.376
"Western Europe","2027",55.531,60.092,51.193
"Eastern Europe","2027",56.126,63.704,49.599
"Eastern Europe: Upper-middle income","2027",51.929,59.854,45.238
"Eastern Europe: High income","2027",57.073,64.562,50.595
"Central Asia","2027",53.339,65.398,41.812
"Central and Western Asia: Lower-middle income","2027",50.817,66.617,35.408
"Central and Western Asia: Upper-middle income","2027",52.362,65.459,39.824
"Central and Western Asia: High income","2027",63.358,66.754,60.039
"Central and Western Asia","2027",52.572,65.827,39.809
"Western Asia","2027",52.081,66.101,38.517
"European Union 28","2027",53.964,59.468,48.76
"G20","2027",58.381,68.939,47.812
"ASEAN","2027",64.957,75.811,54.352
"BRICS","2027",57.155,70.073,43.943
"World excluding BRICS","2027",58.027,68.234,48.126
"G7","2027",57.328,62.802,52.015
"MENA","2027",40.381,64.435,14.476
"Arab League","2027",40.638,64.085,15.246
"CARICOM","2027",56.49,63.778,49.504
"European Union 27","2027",53.365,59.136,47.918
"Arab States: Low income","2027",29.128,52.437,5.778
"APEC","2027",61.394,68.02,54.849
"World excluding India and China","2027",57.826,68.8,47.154
"World: Lower-middle income excluding India","2027",58.879,72.33,45.729
"World: Upper-middle income excluding China","2027",56.11,69.481,43.223
"Yemen","2014",31.37,57.337,4.46
"South Africa","2024",37.632,42.967,32.625
"Zambia","2024",59.658,65.63,53.798
"Zimbabwe","2025",65.138,71.666,59.632
